Run ID,Test Date,Assay Name,Sample Name,Original Sample Conc.,Original sample conc. units,Qubit Tube Conc.,Qubit tube conc. units,Sample Volume (uL),Dilution Factor,Extended Low Range,Core Range,Extended High Range,Excitation,Std 1 RFU,Std 2 RFU,Std 3 RFU,Sample RFU,Last Read Standards,Reagent Lot#,Plate Barcode,Well,Sample ID,Tags,Calibrated Tubes,Software Version,Selected Samples
170226-134034,17/02/2026 01:41:22 PM,1X dsDNA HS,ZFR_PD1,3.27,ng/uL,32.7,ng/mL,2,100,0.05-0.1,0.1-50.0,50.0-60.0,BLUE,1.84758956537,825.588914547,,54.7,17/02/2026 01:40:54 PM,,,,,,8,1.9.0,8
170226-134034,17/02/2026 01:41:22 PM,1X dsDNA HS,SMITIS_PD1,28.6,ng/uL,286,ng/mL,2,100,0.05-0.1,0.1-50.0,50.0-60.0,BLUE,1.53965797114,1048.19091609,,598,17/02/2026 01:40:54 PM,,,,,,8,1.9.0,8
170226-134034,17/02/2026 01:41:22 PM,1X dsDNA HS,20260216_PCRNEGPD1,4.64,ng/uL,46.4,ng/mL,2,100,0.05-0.1,0.1-50.0,50.0-60.0,BLUE,1.57045113056,966.74364896,,89.5,17/02/2026 01:40:54 PM,,,,,,8,1.9.0,8
170226-134034,17/02/2026 01:41:22 PM,1X dsDNA HS,S2,1.51,ng/uL,15.1,ng/mL,2,100,0.05-0.1,0.1-50.0,50.0-60.0,BLUE,1.29331269576,918.67590454,,28.3,17/02/2026 01:40:54 PM,,,,,,8,1.9.0,8
170226-134034,17/02/2026 01:41:22 PM,1X dsDNA HS,S3,18.8,ng/uL,188,ng/mL,2,100,0.05-0.1,0.1-50.0,50.0-60.0,BLUE,1.17014005807,851.67051578,,318,17/02/2026 01:40:54 PM,,,,,,8,1.9.0,8
170226-134034,17/02/2026 01:41:22 PM,1X dsDNA HS,S4,1.35,ng/uL,13.5,ng/mL,2,100,0.05-0.1,0.1-50.0,50.0-60.0,BLUE,1.26251953633,846.897613547,,23.5,17/02/2026 01:40:54 PM,,,,,,8,1.9.0,8
170226-134034,17/02/2026 01:41:22 PM,1X dsDNA HS,S5,1.69,ng/uL,16.9,ng/mL,2,100,0.05-0.1,0.1-50.0,50.0-60.0,BLUE,1.10855373922,733.826020014,,25.2,17/02/2026 01:40:54 PM,,,,,,8,1.9.0,8
170226-134034,17/02/2026 01:41:22 PM,1X dsDNA HS,S6,47.2,ng/uL,472,ng/mL,2,100,0.05-0.1,0.1-50.0,50.0-60.0,BLUE,1.29331269576,731.94765204,,691,17/02/2026 01:40:54 PM,,,,,,8,1.9.0,8
170226-134034,17/02/2026 01:42:01 PM,1X dsDNA HS,S7,2.24,ng/uL,22.4,ng/mL,2,100,0.05-0.1,0.1-50.0,50.0-60.0,BLUE,1.84758956537,825.588914547,,37.9,17/02/2026 01:40:54 PM,,,,,,8,1.9.0,3
170226-134034,17/02/2026 01:42:01 PM,1X dsDNA HS,STD2,6.95,ng/uL,69.5,ng/mL,2,100,0.05-0.1,0.1-50.0,50.0-60.0,BLUE,1.53965797114,1048.19091609,,145,17/02/2026 01:40:54 PM,,,,,,8,1.9.0,3
170226-134034,17/02/2026 01:42:01 PM,1X dsDNA HS,STND2,5.82,ng/uL,58.2,ng/mL,2,100,0.05-0.1,0.1-50.0,50.0-60.0,BLUE,1.57045113056,966.74364896,,112,17/02/2026 01:40:54 PM,,,,,,8,1.9.0,3
